Drug_ID	Drug	Y
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane"	"FC(F)O[C@H](Cl)C(F)(F)F"	0.1
"hexa-1,5-diene"	"C=CCCC=C"	1.01
"m-xylene"	"Cc1cccc(C)c1"	-0.83
"methyl acetate"	"COC(C)=O"	-3.13
"trimethoxymethylbenzene"	"COC(OC)(OC)c1ccccc1"	-4.04
"ethyl benzoate"	"CCOC(=O)c1ccccc1"	-3.64
"propanethiol"	"CCCS"	-1.1
"heptan-2-one"	"CCCCCC(C)=O"	-3.04
"carbofuran"	"CNC(=O)Oc1cccc2c1OC(C)(C)C2"	-9.61
"benzyl bromide"	"BrCc1ccccc1"	-2.38
"ethyl hexanoate"	"CCCCCC(=O)OCC"	-2.23
"1-methoxypropane"	"CCCOC"	-1.66
"4-methylmorpholine"	"CN1CCOCC1"	-6.32
"3-hydroxybenzonitrile"	"N#Cc1cccc(O)c1"	-9.65
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene"	"Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl"	-4.38
"propylbenzene"	"CCCc1ccccc1"	-0.53
"caffeine"	"Cn1c(=O)c2c(ncn2C)n(C)c1=O"	-12.64
"N-methylmethanamine"	"CNC"	-4.29
"1,1,2,3,3,3-hexafluoroprop-1-ene"	"FC(F)=C(F)C(F)(F)F"	2.93
"4-chlorophenol"	"Oc1ccc(Cl)cc1"	-7.03
"piperidine"	"C1CCNCC1"	-5.11
"phenanthrene"	"c1ccc2c(c1)ccc1ccccc12"	-3.88
"iodomethane"	"CI"	-0.89
"3,5-dichloro-2,6-dimethoxyphenol"	"COc1c(Cl)cc(Cl)c(OC)c1O"	-6.44
"(E)-1,2-dichloroethylene"	"Cl/C=C/Cl"	-0.78
"n-pentane"	"CCCCC"	2.3
"butanenitrile"	"CCCC#N"	-3.64
"2-bromo-1,1,1,2-tetrafluoro-ethane"	"F[C@H](Br)C(F)(F)F"	0.5
"2-isobutylpyrazine"	"CC(C)Cc1cnccn1"	-5.04
"[(2S)-butan-2-yl] nitrate"	"CC[C@H](C)O[N+](=O)[O-]"	-1.82
"1,4-dichloro-2-phenyl-benzene"	"Clc1ccc(Cl)c(-c2ccccc2)c1"	-2.46
"1,2,3,4-tetrachloro-5-phenyl-benzene"	"Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl"	-3.48
"2,3-dimethylpentane"	"CC[C@@H](C)C(C)C"	2.52
"4-methylpentan-2-ol"	"CC(C)C[C@@H](C)O"	-3.73
"tetrahydropyran"	"C1CCOCC1"	-3.12
"cyclopropane"	"C1CC1"	0.75
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene"	"Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl"	-3.17
"1,1-dichloroethylene"	"C=C(Cl)Cl"	0.25
"2-methylpropan-1-ol"	"CC(C)CO"	-4.5
"propyl propanoate"	"CCCOC(=O)CC"	-2.44
"hexachloroethane"	"ClC(Cl)(Cl)C(Cl)(Cl)Cl"	-0.64
"methylsulfanylbenzene"	"CSc1ccccc1"	-2.73
"2-ethylphenol"	"CCc1ccccc1O"	-5.66
"2-chloro-2-methyl-propane"	"CC(C)(C)Cl"	1.09
"isoprene"	"C=CC(=C)C"	0.68
"1-isopropyl-4-methyl-benzene"	"Cc1ccc(C(C)C)cc1"	-0.68
"1-methylimidazole"	"Cn1ccnc1"	-8.41
"ethylene glycol"	"OCCO"	-9.3
"1,2-dichlorobenzene"	"Clc1ccccc1Cl"	-1.36
"6-chlorouracil"	"O=c1cc(Cl)[nH]c(=O)[nH]1"	-15.83
"propyl formate"	"CCCOC=O"	-2.48
"2-chlorodibenzo-p-dioxin"	"Clc1ccc2c(c1)Oc1ccccc1O2"	-3.1
"hexanoic acid"	"CCCCCC(=O)O"	-6.21
"diethyl butanedioate"	"CCOC(=O)CCC(=O)OCC"	-5.71
"2,4-dimethylpyridine"	"Cc1ccnc(C)c1"	-4.86
"cyclohexene"	"C1=CCCCC1"	0.14
"1,4-dimethylpiperazine"	"CN1CCN(C)CC1"	-7.58
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene"	"Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl"	-3.04
"quinone"	"O=C1C=CC(=O)C=C1"	-6.5
"methyl 2-chloroacetate"	"COC(=O)CCl"	-4.0
"butanal"	"CCCC=O"	-3.18
"ethylbenzene"	"CCc1ccccc1"	-0.79
"1,1,2-trichloroethylene"	"ClC=C(Cl)Cl"	-0.44
"N,N-diethylethanamine"	"CCN(CC)CC"	-3.22
"1,2,3,4,7-pentachlorodibenzo-p-dioxin"	"Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2"	-4.15
"3,4-dimethylpyridine"	"Cc1ccncc1C"	-5.22
"cyanuric acid"	"O=c1[nH]c(=O)[nH]c(=O)[nH]1"	-18.06
"benzaldehyde"	"O=Cc1ccccc1"	-4.02
"2-chloropyridine"	"Clc1ccccn1"	-4.39
"3-chloroprop-1-ene"	"C=CCCl"	-0.57
"1-(p-tolyl)ethanone"	"CC(=O)c1ccc(C)cc1"	-4.7
"formaldehyde"	"C=O"	-2.75
"1-chloro-2-methyl-benzene"	"Cc1ccccc1Cl"	-1.14
"1-pyrrolidin-1-ylethanone"	"CC(=O)N1CCCC1"	-9.8
"1,1,1-trimethoxyethane"	"COC(C)(OC)OC"	-4.42
"butylbenzene"	"CCCCc1ccccc1"	-0.4
"N,N-dimethylaniline"	"CN(C)c1ccccc1"	-3.45
"2-methoxypropane"	"COC(C)C"	-2.01
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin"	"Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2"	-4.53
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene"	"Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl"	-2.98
"1,1,2-trichloroethane"	"ClCC(Cl)Cl"	-1.99
"N-methylaniline"	"CNc1ccccc1"	-4.69
"isopropyl acetate"	"CC(=O)OC(C)C"	-2.64
"benzene"	"c1ccccc1"	-0.9
"1,2,3-trichlorobenzene"	"Clc1cccc(Cl)c1Cl"	-1.24
"4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane"	"CCOP(=S)(OCC)SCSc1ccc(Cl)cc1"	-6.5
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one"	"COP(=S)(OC)SCn1nnc2ccccc2c1=O"	-10.03
"1,2,4-trichlorodibenzo-p-dioxin"	"Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2"	-4.05
"2,3-dimethylbuta-1,3-diene"	"C=C(C)C(=C)C"	0.4
"hex-1-ene"	"C=CCCCC"	1.58
"hydrogen sulfide"	"S"	-0.7
"ethoxyethane"	"CCOCC"	-1.59
"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine"	"CCNc1nc(NC(C)C)nc(SC)n1"	-7.65
"butyl paraben"	"CCCCOC(=O)c1ccc(O)cc1"	-8.72
"hexyl acetate"	"CCCCCCOC(C)=O"	-2.26
"cyclopentanone"	"O=C1CCCC1"	-4.7
"pentanoic acid"	"CCCCC(=O)O"	-6.16
"bromoethane"	"CCBr"	-0.74
"2,6-dimethylnaphthalene"	"Cc1ccc2cc(C)ccc2c1"	-2.63
"hexan-1-ol"	"CCCCCCO"	-4.4
"1-chloro-2-phenyl-benzene"	"Clc1ccccc1-c1ccccc1"	-2.69
"1-methylcyclohexene"	"CC1=CCCCC1"	0.67
"hexyl nitrate"	"CCCCCCO[N+](=O)[O-]"	-1.66
"bromoform"	"BrC(Br)Br"	-2.13
"4-ethylphenol"	"CCc1ccc(O)cc1"	-6.13
"2-propoxyethanol"	"CCCOCCO"	-6.4
"phenyl formate"	"O=COc1ccccc1"	-3.82
"5-iodouracil"	"O=c1[nH]cc(I)c(=O)[nH]1"	-18.72
"butyric acid"	"CCCC(=O)O"	-6.35
"1,1,1-trifluoro-2,2,2-trimethoxyethane"	"COC(OC)(OC)C(F)(F)F"	-0.8
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol"	"O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O"	-20.52
"bromo-trifluoro-methane"	"FC(F)(F)Br"	1.79
"butan-1-ol"	"CCCCO"	-4.72
"fluorobenzene"	"Fc1ccccc1"	-0.8
"ethyl acetate"	"CCOC(C)=O"	-2.94
"isobutyl 2-methylpropanoate"	"CC(C)COC(=O)C(C)C"	-1.69
"2-methoxy-2-methyl-propane"	"COC(C)(C)C"	-2.21
"heptachlor"	"ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl"	-2.55
"pentan-3-one"	"CCC(=O)CC"	-3.41
"methyl 2,2,2-trifluoroacetate"	"COC(=O)C(F)(F)F"	-1.1
"naphthalene"	"c1ccc2ccccc2c1"	-2.4
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene"	"Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl"	-4.4
"acetylsalicylic acid"	"CC(=O)Oc1ccccc1C(=O)O"	-9.94
"3,3-dimethylbutan-2-one"	"CC(=O)C(C)(C)C"	-3.11
"methyl methanesulfonate"	"COS(C)(=O)=O"	-4.87
"4-ethylpyridine"	"CCc1ccncc1"	-4.73
"N-isopropylpropan-2-amine"	"CC(C)NC(C)C"	-3.22
"2,7-dichlorodibenzo-p-dioxin"	"Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2"	-3.67
"heptan-1-amine"	"CCCCCCCN"	-3.79
"methylcyclopentane"	"CC1CCCC1"	1.59
"propane"	"CCC"	2.0
"2-methyltetrahydrofuran"	"C[C@H]1CCCO1"	-3.3
"naphthalen-1-yl N-methylcarbamate"	"CNC(=O)Oc1cccc2ccccc12"	-9.45
"3-hydroxybenzaldehyde"	"O=Cc1cccc(O)c1"	-9.52
"anthracene"	"c1ccc2cc3ccccc3cc2c1"	-3.95
"dichloromethane"	"ClCCl"	-1.31
"methyl 2,2-dimethylpropanoate"	"COC(=O)C(C)(C)C"	-2.4
"trichloro(nitro)methane"	"O=[N+]([O-])C(Cl)(Cl)Cl"	-1.45
"sulfolane"	"[O-][S+2]1([O-])CCCC1"	-8.61
"2,6-dimethylphenol"	"Cc1cccc(C)c1O"	-5.26
"m-cresol"	"Cc1cccc(O)c1"	-5.49
"1-amino-4-hydroxy-9,10-anthracenedione"	"Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O"	-9.53
"1,4-diamino-9,10-anthracenedione"	"Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O"	-11.85
"nonan-2-one"	"CCCCCCCC(C)=O"	-2.49
"butan-1-amine"	"CCCCN"	-4.24
"ethyl butanoate"	"CCCC(=O)OCC"	-2.49
"4-methylaniline"	"Cc1ccc(N)cc1"	-5.57
"1-iodohexane"	"CCCCCCI"	0.08
"1,1,2-trichloro-1,2,2-trifluoro-ethane"	"FC(F)(Cl)C(F)(Cl)Cl"	1.77
"trimethyl phosphate"	"COP(=O)(OC)OC"	-8.7
"1,3-dichlorobenzene"	"Clc1cccc(Cl)c1"	-0.98
"1,3-dimethylnaphthalene"	"Cc1cc(C)c2ccccc2c1"	-2.47
"isohexane"	"CCCC(C)C"	2.51
"chlorpyrifos"	"CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl"	-5.04
"2-chloro-1,1,1-trifluoro-ethane"	"FC(F)(F)CCl"	0.06
"ethylene"	"C=C"	1.28
"1-iodopentane"	"CCCCCI"	-0.14
"trimethoxymethane"	"COC(OC)OC"	-4.42
"decane"	"CCCCCCCCCC"	3.16
"1,2-dinitroxypropane"	"C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]"	-4.95
"prop-1-ene"	"C=CC"	1.32
"3-methyl-1H-indole"	"Cc1c[nH]c2ccccc12"	-5.88
"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol"	"COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl"	-12.74
"cyclohexane"	"C1CCCCC1"	1.23
"(2E)-3,7-dimethylocta-2,6-dien-1-ol"	"CC(C)=CCC/C(C)=C/CO"	-4.45
"cumene"	"CC(C)c1ccccc1"	-0.3
"2,3,4-trimethylpentane"	"CC(C)C(C)C(C)C"	2.56
"3-methylbutan-2-one"	"CC(=O)C(C)C"	-3.24
"N-butylbutan-1-amine"	"CCCCNCCCC"	-3.24
"butane-1-thiol"	"CCCCS"	-0.99
"1,2,3,4-tetrachlorodibenzo-p-dioxin"	"Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2"	-3.81
"2,6-dichlorosyringaldehyde"	"COc1c(O)c(OC)c(Cl)c(C=O)c1Cl"	-8.68
"cyclohexanamine"	"NC1CCCCC1"	-4.59
"chloro-difluoro-methane"	"FC(F)Cl"	-0.5
"methyl 4-nitrobenzoate"	"COC(=O)c1ccc([N+](=O)[O-])cc1"	-6.88
"1-(3-pyridyl)ethanone"	"CC(=O)c1cccnc1"	-8.26
"prop-1-yne"	"C#CC"	-0.48
"nonanal"	"CCCCCCCCC=O"	-2.07
"propionic acid"	"CCC(=O)O"	-6.46
"chloroform"	"ClC(Cl)Cl"	-1.08
"1,2,3-trimethylbenzene"	"Cc1cccc(C)c1C"	-1.21
"methane"	"C"	2.0
"benzyl chloride"	"ClCc1ccccc1"	-1.93
"methylcyclohexane"	"CC1CCCCC1"	1.7
"2-methylthiophene"	"Cc1cccs1"	-1.38
"pyridine"	"c1ccncc1"	-4.69
"1-chlorobutane"	"CCCCCl"	-0.16
"2,5-dimethyltetrahydrofuran"	"C[C@H]1CC[C@H](C)O1"	-2.92
"4-methyl-2-methoxyphenol"	"COc1cc(C)ccc1O"	-5.8
"chlordane"	"ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H](Cl)C[C@@H](Cl)[C@H]3[C@@]1(Cl)C2(Cl)Cl"	-3.44
"toluene"	"Cc1ccccc1"	-0.9
"isobutyl formate"	"CC(C)COC=O"	-2.22
"ethyl paraben"	"CCOC(=O)c1ccc(O)cc1"	-9.2
"1,2-diethoxyethane"	"CCOCCOCC"	-3.54
"pentyl propanoate"	"CCCCCOC(=O)CC"	-2.11
"4-propylphenol"	"CCCc1ccc(O)cc1"	-5.21
"2-methylbut-2-ene"	"CC=C(C)C"	1.31
"1,2-dichloroethane"	"ClCCCl"	-1.79
"3,3-dimethylpentane"	"CCC(C)(C)CC"	2.56
"2,3-dimethylnaphthalene"	"Cc1cc2ccccc2cc1C"	-2.78
"2,6-dimethylpyridine"	"Cc1cccc(C)n1"	-4.59
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane"	"COC(F)(F)C(Cl)Cl"	-1.12
"2-ethoxyethyl acetate"	"CCOCCOC(C)=O"	-5.31
"3-methoxyaniline"	"COc1cccc(N)c1"	-7.29
"pyridine-3-carbaldehyde"	"O=Cc1cccnc1"	-7.1
"2-methylbutan-2-ol"	"CCC(C)(C)O"	-4.43
"alachlor"	"CCc1cccc(CC)c1N(COC)C(=O)CCl"	-8.21
"1-methylpyrrole"	"Cn1cccc1"	-2.89
"dimethoxymethane"	"COCOC"	-2.93
"pentan-3-ol"	"CCC(O)CC"	-4.35
"undecan-2-one"	"CCCCCCCCCC(C)=O"	-2.15
"1-bromo-2-chloro-ethane"	"ClCCBr"	-1.95
"iodobenzene"	"Ic1ccccc1"	-1.74
"3,5,5-trimethylcyclohex-2-en-1-one"	"CC1=CC(=O)CC(C)(C)C1"	-5.18
"iodoethane"	"CCI"	-0.74
"4-propylguaiacol"	"CCCc1ccc(O)c(OC)c1"	-5.26
"2-bromopropane"	"CC(C)Br"	-0.48
"1-bromo-4-methyl-benzene"	"Cc1ccc(Br)cc1"	-1.39
"4-hydroxybenzonitrile"	"N#Cc1ccc(O)cc1"	-10.17
"methylsulfonylmethane"	"CS(C)(=O)=O"	-10.08
"3-ethylphenol"	"CCc1cccc(O)c1"	-6.25
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol"	"C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1"	-4.44
"1,4-dibromobenzene"	"Brc1ccc(Br)cc1"	-2.3
"dicamba"	"COc1c(Cl)ccc(Cl)c1C(=O)O"	-9.86
"pent-2-ene"	"C/C=C\CC"	1.31
"ethane"	"CC"	1.83
"1,2-dimethoxybenzene"	"COc1ccccc1OC"	-5.33
"ethylsulfanylethane"	"CCSCC"	-1.46
"pyridine-3-carbonitrile"	"N#Cc1cccnc1"	-6.75
"3,4-dichlorophenol"	"Oc1ccc(Cl)c(Cl)c1"	-7.29
"anisole"	"COc1ccccc1"	-2.45
"2,5-dimethylphenol"	"Cc1ccc(C)c(O)c1"	-5.91
"1,4-dichlorobenzene"	"Clc1ccc(Cl)cc1"	-1.01
"chloro-fluoro-methane"	"FCCl"	-0.77
"pent-1-ene"	"C=CCCC"	1.68
"1,2,3,4-tetrachlorobenzene"	"Clc1ccc(Cl)c(Cl)c1Cl"	-1.34
"hept-1-yne"	"C#CCCCCC"	0.6
"decan-2-one"	"CCCCCCCCC(C)=O"	-2.34
"chlorobenzene"	"Clc1ccccc1"	-1.12
"[2-benzhydryloxyethyl]-dimethyl-amine"	"CN(C)CCOC(c1ccccc1)c1ccccc1"	-9.34
"pentanal"	"CCCCC=O"	-3.03
"diphenyl ether"	"c1ccc(Oc2ccccc2)cc1"	-2.87
"cyclohexanone"	"O=C1CCCCC1"	-4.91
"1-nitrobutane"	"CCCC[N+](=O)[O-]"	-3.09
"pyridine-4-carbaldehyde"	"O=Cc1ccncc1"	-7.0
"1-chloro-2-(2-chloroethoxy)ethane"	"ClCCOCCCl"	-4.23
"1-nitroethane"	"CC[N+](=O)[O-]"	-3.71
"3-chloropyridine"	"Clc1cccnc1"	-4.01
"bromomethane"	"CBr"	-0.82
"methanol"	"CO"	-5.1
"heptanal"	"CCCCCCC=O"	-2.67
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene"	"Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl"	-2.28
"2-nitroaniline"	"Nc1ccccc1[N+](=O)[O-]"	-7.37
"1-methylpiperidine"	"CN1CCCCC1"	-3.88
"octanal"	"CCCCCCCC=O"	-2.29
"nitrobenzene"	"O=[N+]([O-])c1ccccc1"	-4.12
"(2S,5R)-2-isopropyl-5-methylcyclohexanone"	"CC(C)[C@@H]1CC[C@@H](C)CC1=O"	-2.53
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol"	"OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O"	-25.47
"fluoromethane"	"CF"	-0.22
"methylsulfinylmethane"	"CS(C)=O"	-9.28
"dibenzo-p-dioxin"	"c1ccc2c(c1)Oc1ccccc1O2"	-3.15
"2-methylaniline"	"Cc1ccccc1N"	-5.53
"1-bromobutane"	"CCCCBr"	-0.4
"nonan-1-ol"	"CCCCCCCCCO"	-3.88
"4-methylpyridine"	"Cc1ccncc1"	-4.93
"1,1,2,2-tetrachloroethylene"	"ClC(Cl)=C(Cl)Cl"	0.1
"2-bromo-2-methyl-propane"	"CC(C)(C)Br"	0.84
"1,1-diphenylethene"	"C=C(c1ccccc1)c1ccccc1"	-2.78
"1-ethyl-4-methyl-benzene"	"CCc1ccc(C)cc1"	-0.95
"3-methylpyridine"	"Cc1cccnc1"	-4.77
"1,1,1,2-tetramethoxyethane"	"COCC(OC)(OC)OC"	-5.73
"9H-fluorene"	"c1ccc2c(c1)Cc1ccccc1-2"	-3.35
"acetamide"	"CC(N)=O"	-9.71
"dimethyl sulfate"	"COS(=O)(=O)OC"	-5.1
"1,1,2,2-tetrachloroethane"	"ClC(Cl)C(Cl)Cl"	-2.37
"methyl cyclohexanecarboxylate"	"COC(=O)C1CCCCC1"	-3.3
"1-bromohexane"	"CCCCCCBr"	0.18
"1-bromoheptane"	"CCCCCCCBr"	0.34
"1-chlorodibenzo-p-dioxin"	"Clc1cccc2c1Oc1ccccc1O2"	-3.52
"3,3,3-trimethoxypropanenitrile"	"COC(CC#N)(OC)OC"	-6.4
