"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL248398";"";"0";"466.44";"0";"4.16";"8";"O=C(NC1CC1)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"16.71";"0.31";"3.64";"7.67";"0";"CHEMBL922915";"Inhibition of human recombinant cKit by FRET assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140657";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL223572";"";"0";"456.55";"0";"4.60";"43a";"Cc1cccc(NC(=O)Nc2ccc(-c3ccc(CN4CCOCC4)c4[nH]nc(N)c34)cc2)c1";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"14.01";"0.26";"1.80";"5.91";"0";"CHEMBL920441";"Inhibition of c-Kit by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142982";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL256893";"";"0";"509.61";"1";"2.86";"24";"CN1CCN(Cc2ccc(Nc3ncc4c(=O)c(C(N)=O)cn(-c5ccc6c(c5)CCC6)c4n3)cc2)CC1";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"14.82";"0.27";"4.69";"6.91";"0";"CHEMBL951154";"Inhibition of KIT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143902";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL504805";"";"0";"396.37";"0";"4.36";"16";"Cc1ccn(-c2cccc(C(F)(F)F)c2)c(=O)c1-c1ccc2nc(N)ncc2c1";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"19.06";"0.36";"3.19";"10.23";"0";"CHEMBL955807";"Inhibition of SCF-induced phosphorylation of c-Kit in MO7e cells by TR-FRET assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MO7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150317";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL497958";"";"0";"360.39";"0";"3.79";"20";"Cc1cc(-n2ccc(C)c(-c3ccc4nc(N)ncc4c3)c2=O)ccc1F";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"21.49";"0.39";"3.95";"10.49";"0";"CHEMBL955807";"Inhibition of SCF-induced phosphorylation of c-Kit in MO7e cells by TR-FRET assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MO7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150317";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL220057";"";"0";"357.42";"0";"4.76";"17b";"Cc1cccc(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"21.74";"0.39";"3.01";"8.11";"1";"CHEMBL920441";"Inhibition of c-Kit by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142982";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL223583";"";"0";"361.38";"0";"4.60";"17f";"Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4ccccc4F)cc3)c12";"IC50";"'='";"34.0";"nM";"7.47";"";"";"UO_0000065";"20.67";"0.38";"2.87";"7.79";"1";"CHEMBL920441";"Inhibition of c-Kit by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142982";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL217090";"";"0";"527.02";"2";"5.18";"15";"Clc1ccc2c(c1Nc1ncnc3cc(OCCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL854969";"Inhibition of C-KIT by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137334";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL231568";"";"0";"507.98";"2";"5.24";"22";"CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"14.81";"0.29";"2.28";"7.39";"0";"CHEMBL895915";"Inhibition of cKit kinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148766";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL389745";"";"0";"577.69";"2";"6.01";"46d";"COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL894168";"Inhibition of recombinant cKit by radiometric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148724";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL269594";"";"0";"413.48";"0";"2.18";"6";"CO/N=C/c1c(N)ncnc1N1CCN(C(=O)Nc2ccc(OC(C)C)cc2)CC1";"IC50";"'='";"10500.0";"nM";"4.98";"";"";"UO_0000065";"12.04";"0.23";"2.80";"4.21";"0";"CHEMBL897765";"Inhibition of c-kit";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149650";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL1933582";"";"0";"501.51";"1";"3.16";"25";"CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1936521";"Inhibition of KIT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933058";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL1940181";"";"0";"468.60";"0";"4.52";"18c";"Cc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O";"IC50";"'='";"1057.0";"nM";"5.98";"";"";"UO_0000065";"12.75";"0.23";"1.46";"8.26";"0";"CHEMBL1942687";"Inhibition of KIT using Bio-HER2tide as substrate by TR-FRET assay in presence of 50 uM of ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1938232";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None";""
"CHEMBL212987";"";"0";"540.74";"2";"5.45";"33";"Cc1cccc(N(C)C(=O)N(C)Cc2ccc(-c3[nH]nc4c3Cc3cc(CN5CCN(C)CC5)ccc3-4)s2)c1";"IC50";"'='";"26845.0";"nM";"4.57";"";"";"UO_0000065";"8.45";"0.16";"-0.88";"7.79";"0";"CHEMBL869849";"Inhibition of cKit at 1 mM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146863";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL1933576";"";"0";"475.48";"0";"2.98";"13";"CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4C)n3)c2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1936521";"Inhibition of KIT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933058";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL2171124";"";"0";"451.45";"0";"4.37";"38, GSK2606414";"Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21";"IC50";"'='";"154.0";"nM";"6.81";"";"";"UO_0000065";"15.09";"0.28";"2.44";"8.84";"0";"CHEMBL2172948";"Inhibition of c-Kit";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2169840";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL424943";"";"0";"411.39";"1";"5.47";"Table 2, 10";"Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12";"IC50";"'='";"41.0";"nM";"7.39";"";"";"UO_0000065";"17.96";"0.34";"1.92";"7.71";"0";"CHEMBL1114167";"Inhibition of c-Kit by HTRF method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153720";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"None";""
"CHEMBL213910";"";"0";"580.68";"2";"6.14";"50";"CN1CCN(Cc2ccc3c(c2)-c2n[nH]c(-c4ccc(CN(C)C(=O)Nc5cccc(C(F)(F)F)c5)s4)c2C3)CC1";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"13.34";"0.26";"1.60";"11.47";"1";"CHEMBL869849";"Inhibition of cKit at 1 mM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146863";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL214161";"";"0";"512.68";"2";"5.09";"3";"Cc1cccc(NC(=O)NCc2ccc(-c3n[nH]c4c3Cc3ccc(CN5CCN(C)CC5)cc3-4)s2)c1";"IC50";"'='";"69.0";"nM";"7.16";"";"";"UO_0000065";"13.97";"0.26";"2.07";"9.39";"0";"CHEMBL869849";"Inhibition of cKit at 1 mM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146863";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL395080";"";"0";"549.63";"2";"5.27";"46c";"COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N";"IC50";"'='";"31800.0";"nM";"4.50";"";"";"UO_0000065";"8.18";"0.15";"-0.77";"3.81";"0";"CHEMBL894168";"Inhibition of recombinant cKit by radiometric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148724";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL197585";"DATELLIPTIUM";"0";"362.50";"0";"4.43";"Formula 4";"CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"17.99";"0.33";"2.09";"15.12";"0";"CHEMBL873572";"Inhibitory concentration against c-Kit D816V type expressed in recombinant baculovirus";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"P10721";"D816V";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141098";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL197610";"";"0";"361.49";"0";"4.72";"Formula 7";"CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ncccc4c3cc12";"IC50";"'='";"250.0";"nM";"6.60";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL883395";"Inhibitory concentration against IL-3 independent Ba/F3 Kit cell line with SCF (kit-ligand)";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141098";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL197635";"";"0";"446.54";"0";"4.31";"29";"Cc1cccc(NC(=O)Nc2ccc(-c3c(CCC(N)=O)sc4ncnc(N)c34)cc2)c1";"IC50";"'='";"158.49";"nM";"6.80";"";"";"UO_0000065";"15.23";"0.29";"2.49";"5.00";"0";"CHEMBL1243604";"Inhibition of cKIT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240323";"1";"Scientific Literature";"J. Mol. Graph. Model.";"2007";"None";""
"CHEMBL247389";"";"0";"347.40";"0";"4.55";"19f";"O=C(Nc1cccc2c1Cc1c-2n[nH]c1-c1ccsc1)c1ccco1";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"17.15";"0.33";"1.41";"8.40";"0";"CHEMBL906391";"Inhibition of c-Kit by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139908";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL247388";"";"0";"339.38";"0";"2.82";"19e";"COC(=O)C(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1ccsc1";"IC50";"'='";"1120.0";"nM";"5.95";"";"";"UO_0000065";"17.53";"0.34";"3.13";"7.08";"0";"CHEMBL906391";"Inhibition of c-Kit by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139908";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL1929238";"";"0";"554.54";"2";"5.23";"27";"CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1932833";"Inhibition of c-KIT (D816V)";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"P10721";"D816V";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1926590";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
"CHEMBL1940179";"";"0";"452.60";"1";"5.15";"15b";"CCc1cc2c(cc1N1CCN(C3CCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1942687";"Inhibition of KIT using Bio-HER2tide as substrate by TR-FRET assay in presence of 50 uM of ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1938232";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None";""
"CHEMBL491418";"";"0";"435.92";"1";"6.00";"12";"CCCCCc1ccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)cc1";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"15.53";"0.30";"0.77";"7.28";"0";"CHEMBL990799";"Inhibition of c-kit";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144163";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL1081022";"";"0";"423.93";"1";"5.85";"Table 2, 16";"Cc1ccccc1NC(=O)Nc1ccc(-c2c(C)sc3ncnc(N)c23)c(Cl)c1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"15.80";"0.32";"0.85";"7.21";"0";"CHEMBL1114167";"Inhibition of c-Kit by HTRF method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153720";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"None";""
"CHEMBL535";"SUNITINIB";"4";"398.48";"0";"3.33";"SU-11248";"CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"20.08";"0.38";"4.67";"10.36";"0";"CHEMBL1110555";"Inhibition of KIT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155389";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL602471";"";"0";"405.26";"1";"5.32";"(R)-3";"C[C@@H](Oc1ccc2ncc(/C=C/C(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1066405";"Inhibition of recombinant Kit by TR-FRET assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156877";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
